File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF541NVY	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR172LVU	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K4me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF356LFX/, /files/ENCFF113NNR/, /files/ENCFF076ONX/	692254	ENCODE Processing Pipeline	89613146f06696ce702f46d2d92ec19a		https://www.encodeproject.org/files/ENCFF541NVY/@@download/ENCFF541NVY.bed.gz				released	s3://encode-public/2020/09/22/ed022c24-1af7-4c4a-8a2b-3e468da10010/ENCFF541NVY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/ed022c24-1af7-4c4a-8a2b-3e468da10010/ENCFF541NVY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF193BMU	bigWig	bigWig		signal p-value	GRCh38	ENCSR007GED	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K36me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF072NXF/, /files/ENCFF829IOW/	1393444095	ENCODE Processing Pipeline	cc8de54aca7f964d9e9cc787a7fdc957		https://www.encodeproject.org/files/ENCFF193BMU/@@download/ENCFF193BMU.bigWig				released	s3://encode-public/2020/09/22/76a20ea5-4dd3-4b04-b554-8013cd1af78e/ENCFF193BMU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/76a20ea5-4dd3-4b04-b554-8013cd1af78e/ENCFF193BMU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF966RBI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR007GED	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K36me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF072NXF/, /files/ENCFF356LFX/, /files/ENCFF829IOW/	1318439	ENCODE Processing Pipeline	9bdc0e05c719d0eab06d47e06414dab6		https://www.encodeproject.org/files/ENCFF966RBI/@@download/ENCFF966RBI.bed.gz				released	s3://encode-public/2020/09/22/acb38901-ff8e-4595-9804-123e9cfba054/ENCFF966RBI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/acb38901-ff8e-4595-9804-123e9cfba054/ENCFF966RBI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF952LHX	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR007GED	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K36me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF966RBI/	2591781	ENCODE Processing Pipeline	b418356af5bc48d9aeab5f506123fe50		https://www.encodeproject.org/files/ENCFF952LHX/@@download/ENCFF952LHX.bigBed				released	s3://encode-public/2020/09/22/f97bbd45-ea31-459e-aafd-b324a202de3a/ENCFF952LHX.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/f97bbd45-ea31-459e-aafd-b324a202de3a/ENCFF952LHX.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF853GRR	bigWig	bigWig		signal p-value	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF149XIX/, /files/ENCFF076ONX/	1518858182	ENCODE Processing Pipeline	2195c038e01ea6b00c9ebd6561453aa3		https://www.encodeproject.org/files/ENCFF853GRR/@@download/ENCFF853GRR.bigWig				released	s3://encode-public/2020/09/21/64234677-1185-4a21-bd8f-5c4e025bc974/ENCFF853GRR.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/64234677-1185-4a21-bd8f-5c4e025bc974/ENCFF853GRR.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF038LOI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF076ONX/, /files/ENCFF149XIX/, /files/ENCFF356LFX/	319331	ENCODE Processing Pipeline	f436257b89982dc9e6f81a0e807d45c4		https://www.encodeproject.org/files/ENCFF038LOI/@@download/ENCFF038LOI.bed.gz				released	s3://encode-public/2020/09/21/80877b07-9fad-44a9-9e78-6902f686087e/ENCFF038LOI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/80877b07-9fad-44a9-9e78-6902f686087e/ENCFF038LOI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF542HVK	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF038LOI/	807801	ENCODE Processing Pipeline	7f1235f26f7be035468978b5e81fe391		https://www.encodeproject.org/files/ENCFF542HVK/@@download/ENCFF542HVK.bigBed				released	s3://encode-public/2020/09/21/1d9676b1-5088-498f-9e4c-2952c623fb70/ENCFF542HVK.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/1d9676b1-5088-498f-9e4c-2952c623fb70/ENCFF542HVK.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF674UON	bigWig	bigWig		signal p-value	GRCh38	ENCSR037GKL	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										CTCF-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF829IOW/, /files/ENCFF152DNP/	1318120482	ENCODE Processing Pipeline	f5c9dea2621b27a2fea2db6b28db3b39		https://www.encodeproject.org/files/ENCFF674UON/@@download/ENCFF674UON.bigWig				released	s3://encode-public/2020/09/24/1bd8b569-6f40-4e1a-8a4e-c397d2f48ed0/ENCFF674UON.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/1bd8b569-6f40-4e1a-8a4e-c397d2f48ed0/ENCFF674UON.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption		
ENCFF719DAZ	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR037GKL	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										CTCF-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF017NAF/	893479	ENCODE Processing Pipeline	d50b2995941b7aaa87d1318f0dd81a8b		https://www.encodeproject.org/files/ENCFF719DAZ/@@download/ENCFF719DAZ.bigBed				released	s3://encode-public/2020/09/24/e80dbd84-7126-4915-9e3b-a5d9151543fd/ENCFF719DAZ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/e80dbd84-7126-4915-9e3b-a5d9151543fd/ENCFF719DAZ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption		
ENCFF017NAF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR037GKL	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										CTCF-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF829IOW/, /files/ENCFF356LFX/, /files/ENCFF152DNP/	489616	ENCODE Processing Pipeline	50ca69e013b308a545a53c6804a4981a		https://www.encodeproject.org/files/ENCFF017NAF/@@download/ENCFF017NAF.bed.gz				released	s3://encode-public/2020/09/24/694aea0a-9a0b-4ca5-b487-abb0f7b09088/ENCFF017NAF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/694aea0a-9a0b-4ca5-b487-abb0f7b09088/ENCFF017NAF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption		
ENCFF125KTC	bigWig	bigWig		signal p-value	GRCh38	ENCSR222SQE	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										CTCF-human	DNA						2016-11-07	ENCODE			450-650	1	1_1							/files/ENCFF691KWE/, /files/ENCFF092CCA/	2204667991	ENCODE Processing Pipeline	b68423b2a7bcf70c0f5e8a3ad222dbfe		https://www.encodeproject.org/files/ENCFF125KTC/@@download/ENCFF125KTC.bigWig				released	s3://encode-public/2020/10/10/15c3ff87-04e2-4ccd-95b9-6911b18ee832/ENCFF125KTC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/15c3ff87-04e2-4ccd-95b9-6911b18ee832/ENCFF125KTC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, moderate library complexity		
ENCFF829XMK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR222SQE	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										CTCF-human	DNA						2016-11-07	ENCODE			450-650	1	1_1							/files/ENCFF691KWE/, /files/ENCFF356LFX/, /files/ENCFF092CCA/	424035	ENCODE Processing Pipeline	a00759878c74245b6da207d2aedd1bca		https://www.encodeproject.org/files/ENCFF829XMK/@@download/ENCFF829XMK.bed.gz				released	s3://encode-public/2020/10/10/ed7c6faa-dc55-4f87-83d2-cac8f18e40da/ENCFF829XMK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/ed7c6faa-dc55-4f87-83d2-cac8f18e40da/ENCFF829XMK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, moderate library complexity		
ENCFF086DZH	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR222SQE	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										CTCF-human	DNA						2016-11-07	ENCODE			450-650	1	1_1							/files/ENCFF829XMK/	794120	ENCODE Processing Pipeline	7203572cab79a7eef62c767569853a27		https://www.encodeproject.org/files/ENCFF086DZH/@@download/ENCFF086DZH.bigBed				released	s3://encode-public/2020/10/10/dc337d5e-9d80-4183-b2b5-7f913658921f/ENCFF086DZH.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/dc337d5e-9d80-4183-b2b5-7f913658921f/ENCFF086DZH.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, moderate library complexity		
ENCFF135SVJ	bigWig	bigWig		signal p-value	GRCh38	ENCSR472VBD	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF709SCI/, /files/ENCFF691KWE/	1459176667	ENCODE Processing Pipeline	3abd4af8f2e96d4d0308ba1a3344ca66		https://www.encodeproject.org/files/ENCFF135SVJ/@@download/ENCFF135SVJ.bigWig				released	s3://encode-public/2020/12/04/33998867-dcf8-41e2-a4f6-e711eab5386c/ENCFF135SVJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/33998867-dcf8-41e2-a4f6-e711eab5386c/ENCFF135SVJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, moderate library complexity		
ENCFF536KQX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR472VBD	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF709SCI/, /files/ENCFF691KWE/, /files/ENCFF356LFX/	225795	ENCODE Processing Pipeline	a8237aa02c8c21dbbce7c9f9edfe4c2c		https://www.encodeproject.org/files/ENCFF536KQX/@@download/ENCFF536KQX.bed.gz				released	s3://encode-public/2020/12/04/baba3bd9-3ee3-4b51-b164-4d73bcc502f0/ENCFF536KQX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/baba3bd9-3ee3-4b51-b164-4d73bcc502f0/ENCFF536KQX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, moderate library complexity		
ENCFF543ARF	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR472VBD	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF536KQX/	450339	ENCODE Processing Pipeline	24a14fd82f4482e725dcb8519e02be06		https://www.encodeproject.org/files/ENCFF543ARF/@@download/ENCFF543ARF.bigBed				released	s3://encode-public/2020/12/04/cce44814-e506-4f51-809e-0e059dda5e7e/ENCFF543ARF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/cce44814-e506-4f51-809e-0e059dda5e7e/ENCFF543ARF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, moderate library complexity		
ENCFF747OLM	bigWig	bigWig		signal p-value	GRCh38	ENCSR684NJD	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										EP300-human	DNA				formaldehyde		2017-06-15	ENCODE		sonication (generic)		1	1_1							/files/ENCFF558WLL/, /files/ENCFF835JLX/	1215982871	ENCODE Processing Pipeline	49c7a9238e702dba38dddbe6ea3f2fc2		https://www.encodeproject.org/files/ENCFF747OLM/@@download/ENCFF747OLM.bigWig				released	s3://encode-public/2020/12/02/9ae45ba2-da4c-4e6e-b60a-97ee85798165/ENCFF747OLM.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/9ae45ba2-da4c-4e6e-b60a-97ee85798165/ENCFF747OLM.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF099PQM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR684NJD	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										EP300-human	DNA				formaldehyde		2017-06-15	ENCODE		sonication (generic)		1	1_1							/files/ENCFF558WLL/, /files/ENCFF356LFX/, /files/ENCFF835JLX/	88576	ENCODE Processing Pipeline	a61cdf2206167a6e51587bd751f892eb		https://www.encodeproject.org/files/ENCFF099PQM/@@download/ENCFF099PQM.bed.gz				released	s3://encode-public/2020/12/02/c05a5fb2-2636-4d38-b281-dbbe96655477/ENCFF099PQM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/c05a5fb2-2636-4d38-b281-dbbe96655477/ENCFF099PQM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF818VAB	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR684NJD	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										EP300-human	DNA				formaldehyde		2017-06-15	ENCODE		sonication (generic)		1	1_1							/files/ENCFF099PQM/	227780	ENCODE Processing Pipeline	cd9aa2b70308b955996829190dc1135e		https://www.encodeproject.org/files/ENCFF818VAB/@@download/ENCFF818VAB.bigBed				released	s3://encode-public/2020/12/02/a89326fb-67b0-4851-8a05-97f68a593c8a/ENCFF818VAB.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/a89326fb-67b0-4851-8a05-97f68a593c8a/ENCFF818VAB.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF329SWM	bigWig	bigWig		signal p-value	GRCh38	ENCSR122EYE	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF586WHQ/, /files/ENCFF108IXN/	934980747	ENCODE Processing Pipeline	8d29b97563b814e1846876f45597b94e		https://www.encodeproject.org/files/ENCFF329SWM/@@download/ENCFF329SWM.bigWig				released	s3://encode-public/2020/11/28/6568180a-4f44-4805-a90b-caf02fec162b/ENCFF329SWM.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/6568180a-4f44-4805-a90b-caf02fec162b/ENCFF329SWM.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF502RVO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR122EYE	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF586WHQ/, /files/ENCFF356LFX/, /files/ENCFF108IXN/	131290	ENCODE Processing Pipeline	9455ca03d9406da394a6b43195606f26		https://www.encodeproject.org/files/ENCFF502RVO/@@download/ENCFF502RVO.bed.gz				released	s3://encode-public/2020/11/28/d9aececb-a18a-44f4-a38e-f2aaed162070/ENCFF502RVO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/d9aececb-a18a-44f4-a38e-f2aaed162070/ENCFF502RVO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF719RDO	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR122EYE	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF502RVO/	296640	ENCODE Processing Pipeline	55f251b498d4ec02615589816d447a81		https://www.encodeproject.org/files/ENCFF719RDO/@@download/ENCFF719RDO.bigBed				released	s3://encode-public/2020/11/28/1918d9d1-9b3e-452c-b429-abe2181a90ad/ENCFF719RDO.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/1918d9d1-9b3e-452c-b429-abe2181a90ad/ENCFF719RDO.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF352OPQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR549WAU	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										CTCF-human	DNA						2016-07-11	ENCODE			450-650	1	1_1							/files/ENCFF586WHQ/, /files/ENCFF409ADJ/	1054457390	ENCODE Processing Pipeline	764fc9a7e00a1c58bf19651eab04aa01		https://www.encodeproject.org/files/ENCFF352OPQ/@@download/ENCFF352OPQ.bigWig				released	s3://encode-public/2020/10/10/98dc7e03-3787-4532-a798-5a6683276e91/ENCFF352OPQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/98dc7e03-3787-4532-a798-5a6683276e91/ENCFF352OPQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF515HTQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR549WAU	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										CTCF-human	DNA						2016-07-11	ENCODE			450-650	1	1_1							/files/ENCFF586WHQ/, /files/ENCFF356LFX/, /files/ENCFF409ADJ/	385967	ENCODE Processing Pipeline	b077fb7f4069d77e6be9e2f55050fbe5		https://www.encodeproject.org/files/ENCFF515HTQ/@@download/ENCFF515HTQ.bed.gz				released	s3://encode-public/2020/10/10/a5421196-610a-497d-bd32-92af6a2f59d7/ENCFF515HTQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/a5421196-610a-497d-bd32-92af6a2f59d7/ENCFF515HTQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF593FMT	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR549WAU	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										CTCF-human	DNA						2016-07-11	ENCODE			450-650	1	1_1							/files/ENCFF515HTQ/	708179	ENCODE Processing Pipeline	942f703809518d5f04fed4c3179e0d20		https://www.encodeproject.org/files/ENCFF593FMT/@@download/ENCFF593FMT.bigBed				released	s3://encode-public/2020/10/10/b8768bee-8877-4a71-b71c-7e5486f4ca86/ENCFF593FMT.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/b8768bee-8877-4a71-b71c-7e5486f4ca86/ENCFF593FMT.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, control low read depth		
ENCFF499TVH	bigWig	bigWig		signal p-value	GRCh38	ENCSR978LQC	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										POLR2AphosphoS5-human	DNA				formaldehyde		2017-10-31	ENCODE		sonication (generic)		1	1_1							/files/ENCFF791BYL/, /files/ENCFF440YIR/	1690898067	ENCODE Processing Pipeline	29f14a36f9ed6b4488d4929580b9023f		https://www.encodeproject.org/files/ENCFF499TVH/@@download/ENCFF499TVH.bigWig				released	s3://encode-public/2020/11/30/b14aefd2-f9f2-45e8-84ef-579f5f163454/ENCFF499TVH.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/30/b14aefd2-f9f2-45e8-84ef-579f5f163454/ENCFF499TVH.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF347VIP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR978LQC	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										POLR2AphosphoS5-human	DNA				formaldehyde		2017-10-31	ENCODE		sonication (generic)		1	1_1							/files/ENCFF356LFX/, /files/ENCFF791BYL/, /files/ENCFF440YIR/	1013428	ENCODE Processing Pipeline	cb0401ed964398d83e0d5105ef6e7398		https://www.encodeproject.org/files/ENCFF347VIP/@@download/ENCFF347VIP.bed.gz				released	s3://encode-public/2020/11/30/5bdc420c-2eb5-414a-b6ee-1b3a061c0f73/ENCFF347VIP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/30/5bdc420c-2eb5-414a-b6ee-1b3a061c0f73/ENCFF347VIP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
